463242	420108
-694645	-559942
943356	795805
-26809	901112
-77487	559662
-142588	615015
186326	-153504
-931563	-894469
-703717	489343
663231	360566
-558563	78992
219076	-719888
-281464	794006
82706	802164
878449	-167887
-141156	-743045
191489	370426
948519	-27863
204443	-350397
648360	-633440
100220	449250
-840155	822454
872502	-535231
-280310	-428488
383916	-459693
991131	321006
-275373	-329816
50947	690514
508527	175908
-646483	319616
935296	-468499
957142	-960193
-785374	158215
378044	-35095
-397871	-164880
506371	788882
-539369	-529612
-964219	17012
607443	-738220
-582813	89367
-931743	-916686
-816088	467711
-656075	-525893
239425	421966
-721494	143089
-226729	-87767
-507904	-811829
-307433	761176
738610	281624
864742	238232
